event_id,user_id,product_id,product_name,event_type,price,event_time
a3ba4f9b-3292-463c-9b52-1a46e9e40a30,4977,4,Keyboard,view,100,2026-02-19T17:46:17.664716+00:00
6eed7c5d-7cae-4262-acc0-d77119605ce3,3075,2,Phone,purchase,800,2026-02-19T17:46:17.664716+00:00
c7f88d42-a404-41f6-9a14-673bf8edc8f8,1049,4,Keyboard,view,100,2026-02-19T17:46:17.664716+00:00
596016ab-636e-4d72-a224-5c7458d26ed1,4981,4,Keyboard,view,100,2026-02-19T17:46:17.664716+00:00
2948fc37-a51a-4b28-801c-5f9c83389092,3737,4,Keyboard,purchase,100,2026-02-19T17:46:17.664716+00:00
bba9156c-6571-4320-99d6-0d127a968dbc,4288,4,Keyboard,purchase,100,2026-02-19T17:46:17.664716+00:00
9bfb8aa6-e8cb-4c93-9178-ca6bc928d4d3,2816,2,Phone,view,800,2026-02-19T17:46:17.664716+00:00
db2cc286-9ddf-402c-be67-e568c5b908eb,2426,2,Phone,purchase,800,2026-02-19T17:46:17.664716+00:00
28cd2c78-5628-46ce-aa07-515f227bcdb9,1811,3,Headphones,view,150,2026-02-19T17:46:17.664716+00:00
a7070a4a-738c-4c92-8e0a-53cf4faaa111,1850,4,Keyboard,view,100,2026-02-19T17:46:17.664716+00:00
5d1b8cd1-3d48-458b-88dc-6609e5ae512d,1690,4,Keyboard,view,100,2026-02-19T17:46:17.664716+00:00
f24f3cf4-5d5a-4d9a-8ce7-134817dc5bb5,4517,4,Keyboard,purchase,100,2026-02-19T17:46:17.665717+00:00
19adaef0-43f8-4c7c-8de3-c273f3eb7c72,1577,2,Phone,purchase,800,2026-02-19T17:46:17.665717+00:00
d90d765e-f864-4321-b4cf-f6add5e3854e,1726,2,Phone,view,800,2026-02-19T17:46:17.665717+00:00
3e551443-3384-40dd-9ddd-05f19e4172a8,3317,3,Headphones,view,150,2026-02-19T17:46:17.665717+00:00
56ca7b45-90ca-469a-9af0-8db14e4e6522,1129,3,Headphones,purchase,150,2026-02-19T17:46:17.665717+00:00
b49d6afd-0c7f-4ad9-a2fe-bb11bdd913e4,2041,3,Headphones,purchase,150,2026-02-19T17:46:17.665717+00:00
5b45fca1-ae9b-473f-91bb-d629fbc5f103,4761,2,Phone,purchase,800,2026-02-19T17:46:17.665717+00:00
81737773-2844-494a-ab11-2d93aba8f9d4,1422,4,Keyboard,purchase,100,2026-02-19T17:46:17.665717+00:00
30047c5c-0167-4e28-a9e5-1b5d9d5a0e93,3436,3,Headphones,view,150,2026-02-19T17:46:17.665717+00:00
