event_id,user_id,product_id,product_name,event_type,price,event_time
ee91936f-bf49-4c24-b316-d7c37b3fbc21,3438,3,Headphones,view,150,2026-02-19T17:47:57.694709+00:00
e57d49cb-8452-4ee2-91be-67b9f549d50b,1496,4,Keyboard,view,100,2026-02-19T17:47:57.694709+00:00
d4ff0db7-0187-4393-9fc4-82489075276e,1085,3,Headphones,purchase,150,2026-02-19T17:47:57.694709+00:00
f30fbf4f-2108-4cc5-9c9e-9795ac1caaa1,4858,4,Keyboard,view,100,2026-02-19T17:47:57.694709+00:00
ae6369f8-eb34-4bfb-ad5e-574206c8b99b,4935,1,Laptop,purchase,1200,2026-02-19T17:47:57.694709+00:00
3ca6b8a9-bccb-48d6-b133-a699bdf2ad55,2872,1,Laptop,purchase,1200,2026-02-19T17:47:57.694709+00:00
f54d77f0-b0a5-4fd2-aebb-165135c4f0ec,3711,1,Laptop,view,1200,2026-02-19T17:47:57.694709+00:00
7f5eb5a9-6661-4af6-9b11-ba157e6144e6,3838,4,Keyboard,view,100,2026-02-19T17:47:57.694709+00:00
a82de741-9dc3-49c2-9af7-5045679a887b,3724,4,Keyboard,purchase,100,2026-02-19T17:47:57.694709+00:00
bd9998b5-533e-4f69-8dae-5befd02cb10c,1641,2,Phone,purchase,800,2026-02-19T17:47:57.694709+00:00
8e675900-145a-4ffe-aa4d-fd216dfad341,3674,4,Keyboard,purchase,100,2026-02-19T17:47:57.694709+00:00
9b588542-ef0e-4f7c-9669-0818d02b5866,1958,1,Laptop,view,1200,2026-02-19T17:47:57.694709+00:00
11c136b1-c5bd-4700-812b-3b93aa769915,3083,4,Keyboard,purchase,100,2026-02-19T17:47:57.694709+00:00
b98f7778-164c-47b8-8a47-eb4cf032be24,1337,4,Keyboard,purchase,100,2026-02-19T17:47:57.694709+00:00
61975bdd-cd01-4b27-a639-bfa72a97b150,4190,4,Keyboard,purchase,100,2026-02-19T17:47:57.694709+00:00
24a5f9dd-eed1-47ce-a316-8fd368c5c0f7,2642,2,Phone,view,800,2026-02-19T17:47:57.694709+00:00
15a8099f-ab37-42a8-8801-812f80016cfd,2825,2,Phone,view,800,2026-02-19T17:47:57.695924+00:00
21e66edf-ec8c-4325-a234-c0754ef532fd,2994,2,Phone,view,800,2026-02-19T17:47:57.695924+00:00
80a2d44a-5a29-40d1-8618-81d3589eb919,2314,3,Headphones,purchase,150,2026-02-19T17:47:57.695924+00:00
baa00964-3c9e-46a9-bf29-0a72f1ad3c98,4587,2,Phone,view,800,2026-02-19T17:47:57.695924+00:00
