event_id,user_id,product_id,product_name,event_type,price,event_time
84d47542-16c8-456d-ab3a-bfca397fd2b1,2517,1,Laptop,view,1200,2026-02-19T17:48:17.696824+00:00
7d8e2475-c30c-4aa0-b3b4-9d1a6fd1b58e,1774,1,Laptop,purchase,1200,2026-02-19T17:48:17.696824+00:00
bdf4b489-ed4b-486d-ad76-6a9e5740fbc5,3108,3,Headphones,purchase,150,2026-02-19T17:48:17.696824+00:00
5a3b72b7-a959-4e8f-a1b1-3c8a584a3021,3084,2,Phone,purchase,800,2026-02-19T17:48:17.697832+00:00
433aa5fd-69df-4210-8b1d-2aa67aa3c154,2463,4,Keyboard,view,100,2026-02-19T17:48:17.697832+00:00
effde870-803c-4ee7-91c3-d0d87b832810,2864,3,Headphones,purchase,150,2026-02-19T17:48:17.697832+00:00
43617b5c-abb3-42cb-b42c-6d1190c3406e,2254,2,Phone,view,800,2026-02-19T17:48:17.697832+00:00
6cf9e291-3c66-4121-8cdc-381185ee4f0c,3354,3,Headphones,purchase,150,2026-02-19T17:48:17.697832+00:00
f34b4cda-b976-429a-8a9d-105d9bb5b48a,3802,3,Headphones,purchase,150,2026-02-19T17:48:17.697832+00:00
7a012f32-cba3-46ba-9cb8-6032065d86a6,4390,3,Headphones,view,150,2026-02-19T17:48:17.697832+00:00
ca216127-5063-4446-b938-95abb5d86d40,1126,4,Keyboard,view,100,2026-02-19T17:48:17.697832+00:00
2c409ef6-9fee-462d-9666-6783246c45a5,2768,2,Phone,view,800,2026-02-19T17:48:17.697832+00:00
d2d4f38e-0b75-401f-983d-753275ef8aae,4374,3,Headphones,view,150,2026-02-19T17:48:17.697832+00:00
5c87f7c7-560e-44e6-9caf-d86cf23c5199,2765,4,Keyboard,view,100,2026-02-19T17:48:17.697832+00:00
aeb147b0-9fb8-43ae-9c05-5023bfcca8a1,3647,3,Headphones,view,150,2026-02-19T17:48:17.697832+00:00
1d083bdc-9857-425a-b36d-abca3dfe1a90,1788,2,Phone,purchase,800,2026-02-19T17:48:17.697832+00:00
b76c2ab4-2dd3-4008-8ec9-5de609f49e76,3620,1,Laptop,purchase,1200,2026-02-19T17:48:17.697832+00:00
864dbd78-a2b0-422f-8342-6829834f5c11,3630,3,Headphones,purchase,150,2026-02-19T17:48:17.697832+00:00
cc82518b-22a1-4fed-8696-56fd2216c268,2981,4,Keyboard,purchase,100,2026-02-19T17:48:17.697832+00:00
32f75c75-b37c-450c-aa92-19fedf5f31a1,3724,3,Headphones,purchase,150,2026-02-19T17:48:17.697832+00:00
